# MOE 《重編國語辭典修訂本》 government-sourced four-character phrase lexicon. See README.md.
巴黎和約	ㄅㄚ ㄌㄧˊ ㄏㄜˊ ㄩㄝ
巴黎畫派	ㄅㄚ ㄌㄧˊ ㄏㄨㄚˋ ㄆㄞˋ
巴嶺山脈	ㄅㄚ ㄌㄧㄥˇ ㄕㄢ ㄇㄞˋ
巴倫支海	ㄅㄚ ㄌㄨㄣˊ ㄓ ㄏㄞˇ
巴高望上	ㄅㄚ ㄍㄠ ㄨㄤˋ ㄕㄤˋ
巴寡婦清	ㄅㄚ ㄍㄨㄚˇ ㄈㄨˋ ㄑㄧㄥ
巴基斯坦	ㄅㄚ ㄐㄧ ㄙ ㄊㄢˇ
巴家做活	ㄅㄚ ㄐㄧㄚ ㄗㄨㄛˋ ㄏㄨㄛˊ
巴前算後	ㄅㄚ ㄑㄧㄢˊ ㄙㄨㄢˋ ㄏㄡˋ
巴西利亞	ㄅㄚ ㄒㄧ ㄌㄧˋ ㄧㄚˋ
巴西高原	ㄅㄚ ㄒㄧ ㄍㄠ ㄩㄢˊ
巴士海峽	ㄅㄚ ㄕˋ ㄏㄞˇ ㄒㄧㄚˊ
巴氏反射	ㄅㄚ ㄕˋ ㄈㄢˇ ㄕㄜˋ
巴氏桿菌	ㄅㄚ ㄕˋ ㄍㄢˇ ㄐㄩㄣˋ
巴蛇吞象	ㄅㄚ ㄕㄜˊ ㄊㄨㄣ ㄒㄧㄤˋ
巴蛇食象	ㄅㄚ ㄕㄜˊ ㄕˊ ㄒㄧㄤˋ
巴人下里	ㄅㄚ ㄖㄣˊ ㄒㄧㄚˋ ㄌㄧˇ
巴斯克人	ㄅㄚ ㄙ ㄎㄜˋ ㄖㄣˊ
巴塞隆納	ㄅㄚ ㄙㄞˋ ㄌㄨㄥˊ ㄋㄚˋ
巴三覽四	ㄅㄚ ㄙㄢ ㄌㄢˇ ㄙˋ
巴爾的摩	ㄅㄚ ㄦˇ ㄉㄧˋ ㄇㄛˊ
巴爾陶克	ㄅㄚ ㄦˇ ㄊㄠˊ ㄎㄜˋ
巴爾札克	ㄅㄚ ㄦˇ ㄓㄚˊ ㄎㄜˋ
拔本塞原	ㄅㄚˊ ㄅㄣˇ ㄙㄜˋ ㄩㄢˊ
拔本塞源	ㄅㄚˊ ㄅㄣˇ ㄙㄜˋ ㄩㄢˊ
拔茅連茹	ㄅㄚˊ ㄇㄠˊ ㄌㄧㄢˊ ㄖㄨˊ
拔苗助長	ㄅㄚˊ ㄇㄧㄠˊ ㄓㄨˋ ㄓㄤˇ
拔得頭籌	ㄅㄚˊ ㄉㄜˊ ㄊㄡˊ ㄔㄡˊ
拔刀斷席	ㄅㄚˊ ㄉㄠ ㄉㄨㄢˋ ㄒㄧˊ
拔刀相濟	ㄅㄚˊ ㄉㄠ ㄒㄧㄤ ㄐㄧˋ
拔刀相助	ㄅㄚˊ ㄉㄠ ㄒㄧㄤ ㄓㄨˋ
拔地參天	ㄅㄚˊ ㄉㄧˋ ㄘㄢ ㄊㄧㄢ
拔地而起	ㄅㄚˊ ㄉㄧˋ ㄦˊ ㄑㄧˇ
拔地倚天	ㄅㄚˊ ㄉㄧˋ ㄧˇ ㄊㄧㄢ
拔地搖山	ㄅㄚˊ ㄉㄧˋ ㄧㄠˊ ㄕㄢ
拔腿就跑	ㄅㄚˊ ㄊㄨㄟˇ ㄐㄧㄡˋ ㄆㄠˇ
拔來報往	ㄅㄚˊ ㄌㄞˊ ㄅㄠˋ ㄨㄤˇ
拔類超群	ㄅㄚˊ ㄌㄟˋ ㄔㄠ ㄑㄩㄣˊ
拔葵啖棗	ㄅㄚˊ ㄎㄨㄟˊ ㄉㄢˋ ㄗㄠˇ
拔葵去織	ㄅㄚˊ ㄎㄨㄟˊ ㄑㄩˋ ㄓ
拔濟火宅	ㄅㄚˊ ㄐㄧˋ ㄏㄨㄛˇ ㄓㄞˊ
拔去一丁	ㄅㄚˊ ㄑㄩˋ ㄧ ㄉㄧㄥ
拔群出類	ㄅㄚˊ ㄑㄩㄣˊ ㄔㄨ ㄌㄟˋ
拔群出萃	ㄅㄚˊ ㄑㄩㄣˊ ㄔㄨ ㄘㄨㄟˋ
拔犀擢象	ㄅㄚˊ ㄒㄧ ㄓㄨㄛˊ ㄒㄧㄤˋ
拔新領異	ㄅㄚˊ ㄒㄧㄣ ㄌㄧㄥˇ ㄧˋ
拔幟易幟	ㄅㄚˊ ㄓˋ ㄧˋ ㄓˋ
拔宅飛昇	ㄅㄚˊ ㄓㄞˊ ㄈㄟ ㄕㄥ
拔宅上昇	ㄅㄚˊ ㄓㄞˊ ㄕㄤˋ ㄕㄥ
拔著短籌	ㄅㄚˊ ㄓㄠˊ ㄉㄨㄢˇ ㄔㄡˊ
拔十得五	ㄅㄚˊ ㄕˊ ㄉㄜˊ ㄨˇ
拔十失五	ㄅㄚˊ ㄕˊ ㄕ ㄨˇ
拔舌地獄	ㄅㄚˊ ㄕㄜˊ ㄉㄧˋ ㄩˋ
拔山蓋世	ㄅㄚˊ ㄕㄢ ㄍㄞˋ ㄕˋ
拔山扛鼎	ㄅㄚˊ ㄕㄢ ㄍㄤ ㄉㄧㄥˇ
拔山舉鼎	ㄅㄚˊ ㄕㄢ ㄐㄩˇ ㄉㄧㄥˇ
拔山超海	ㄅㄚˊ ㄕㄢ ㄔㄠ ㄏㄞˇ
拔樹撼山	ㄅㄚˊ ㄕㄨˋ ㄏㄢˋ ㄕㄢ
拔樹尋根	ㄅㄚˊ ㄕㄨˋ ㄒㄩㄣˊ ㄍㄣ
拔萃出類	ㄅㄚˊ ㄘㄨㄟˋ ㄔㄨ ㄌㄟˋ
拔萃出群	ㄅㄚˊ ㄘㄨㄟˋ ㄔㄨ ㄑㄩㄣˊ
拔萃書室	ㄅㄚˊ ㄘㄨㄟˋ ㄕㄨ ㄕˋ
拔爾波亞	ㄅㄚˊ ㄦˇ ㄅㄛ ㄧㄚˋ
拔圍出夫	ㄅㄚˊ ㄨㄟˊ ㄔㄨ ㄈㄨ
跋胡疐尾	ㄅㄚˊ ㄏㄨˊ ㄓˋ ㄨㄟˇ
跋扈自恣	ㄅㄚˊ ㄏㄨˋ ㄗˋ ㄗˋ
跋前疐後	ㄅㄚˊ ㄑㄧㄢˊ ㄓˋ ㄏㄡˋ
跋前躓後	ㄅㄚˊ ㄑㄧㄢˊ ㄓˋ ㄏㄡˋ
跋涉千里	ㄅㄚˊ ㄕㄜˋ ㄑㄧㄢ ㄌㄧˇ
跋涉山川	ㄅㄚˊ ㄕㄜˋ ㄕㄢ ㄔㄨㄢ
跋山涉川	ㄅㄚˊ ㄕㄢ ㄕㄜˋ ㄔㄨㄢ
跋山涉水	ㄅㄚˊ ㄕㄢ ㄕㄜˋ ㄕㄨㄟˇ
把臂入林	ㄅㄚˇ ㄅㄧˋ ㄖㄨˋ ㄌㄧㄣˊ
把臂而談	ㄅㄚˇ ㄅㄧˋ ㄦˊ ㄊㄢˊ
把飯叫饑	ㄅㄚˇ ㄈㄢˋ ㄐㄧㄠˋ ㄐㄧ
把定了心	ㄅㄚˇ ㄉㄧㄥˋ ˙ㄌㄜ ㄒㄧㄣ
把臉一板	ㄅㄚˇ ㄌㄧㄢˇ ㄧ ㄅㄢˇ
把腳不住	ㄅㄚˇ ㄐㄧㄠˇ ㄅㄨˋ ㄓㄨˋ
把薪助火	ㄅㄚˇ ㄒㄧㄣ ㄓㄨˋ ㄏㄨㄛˇ
把持不定	ㄅㄚˇ ㄔˊ ㄅㄨˋ ㄉㄧㄥˋ
把持不住	ㄅㄚˇ ㄔˊ ㄅㄨˋ ㄓㄨˋ
把手言歡	ㄅㄚˇ ㄕㄡˇ ㄧㄢˊ ㄏㄨㄢ
把素持齋	ㄅㄚˇ ㄙㄨˋ ㄔˊ ㄓㄞ
霸陵呵夜	ㄅㄚˋ ㄌㄧㄥˊ ㄏㄜ ㄧㄝˋ
霸陵折柳	ㄅㄚˋ ㄌㄧㄥˊ ㄓㄜˊ ㄌㄧㄡˇ
霸陵醉尉	ㄅㄚˋ ㄌㄧㄥˊ ㄗㄨㄟˋ ㄨㄟˋ
霸王悲歌	ㄅㄚˋ ㄨㄤˊ ㄅㄟ ㄍㄜ
霸王別姬	ㄅㄚˋ ㄨㄤˊ ㄅㄧㄝˊ ㄐㄧ
霸王風月	ㄅㄚˋ ㄨㄤˊ ㄈㄥ ㄩㄝˋ
霸王卸甲	ㄅㄚˋ ㄨㄤˊ ㄒㄧㄝˋ ㄐㄧㄚˇ
灞陵呵夜	ㄅㄚˋ ㄌㄧㄥˊ ㄏㄜ ㄧㄝˋ
灞陵醉尉	ㄅㄚˋ ㄌㄧㄥˊ ㄗㄨㄟˋ ㄨㄟˋ
灞陵夜獵	ㄅㄚˋ ㄌㄧㄥˊ ㄧㄝˋ ㄌㄧㄝˋ
撥煩理難	ㄅㄛ ㄈㄢˊ ㄌㄧˇ ㄋㄢˊ
撥煩理劇	ㄅㄛ ㄈㄢˊ ㄌㄧˇ ㄐㄩˋ
撥風也似	ㄅㄛ ㄈㄥ ㄧㄝˇ ㄙˋ
撥弄是非	ㄅㄛ ㄋㄨㄥˋ ㄕˋ ㄈㄟ
撥亂反治	ㄅㄛ ㄌㄨㄢˋ ㄈㄢˇ ㄓˋ
撥亂濟時	ㄅㄛ ㄌㄨㄢˋ ㄐㄧˋ ㄕˊ
撥亂濟危	ㄅㄛ ㄌㄨㄢˋ ㄐㄧˋ ㄨㄟˊ
撥亂興治	ㄅㄛ ㄌㄨㄢˋ ㄒㄧㄥ ㄓˋ
撥亂之才	ㄅㄛ ㄌㄨㄢˋ ㄓ ㄘㄞˊ
撥亂誅暴	ㄅㄛ ㄌㄨㄢˋ ㄓㄨ ㄅㄠˋ
撥號系統	ㄅㄛ ㄏㄠˋ ㄒㄧˋ ㄊㄨㄥˇ
撥接服務	ㄅㄛ ㄐㄧㄝ ㄈㄨˊ ㄨˋ
撥弦樂器	ㄅㄛ ㄒㄧㄢˊ ㄩㄝˋ ㄑㄧˋ
撥著癢處	ㄅㄛ ㄓㄠˊ ㄧㄤˇ ㄔㄨˋ
撥草尋蛇	ㄅㄛ ㄘㄠˇ ㄒㄩㄣˊ ㄕㄜˊ
撥萬輪千	ㄅㄛ ㄨㄢˋ ㄌㄨㄣˊ ㄑㄧㄢ
撥萬論千	ㄅㄛ ㄨㄢˋ ㄌㄨㄣˋ ㄑㄧㄢ
撥雨撩雲	ㄅㄛ ㄩˇ ㄌㄧㄠˊ ㄩㄣˊ
撥雲睹日	ㄅㄛ ㄩㄣˊ ㄉㄨˇ ㄖˋ
撥雲撩雨	ㄅㄛ ㄩㄣˊ ㄌㄧㄠˊ ㄩˇ
撥雲見日	ㄅㄛ ㄩㄣˊ ㄐㄧㄢˋ ㄖˋ
波波淥淥	ㄅㄛ ㄅㄛ ㄌㄨˋ ㄌㄨˋ
波波碌碌	ㄅㄛ ㄅㄛ ㄌㄨˋ ㄌㄨˋ
波波漉漉	ㄅㄛ ㄅㄛ ㄌㄨˋ ㄌㄨˋ
波波劫劫	ㄅㄛ ㄅㄛ ㄐㄧㄝˊ ㄐㄧㄝˊ
波波悄悄	ㄅㄛ ㄅㄛ ㄑㄧㄠˇ ㄑㄧㄠˇ
波波吒吒	ㄅㄛ ㄅㄛ ㄓㄚˋ ㄓㄚˋ
波迸流移	ㄅㄛ ㄅㄥˋ ㄌㄧㄡˊ ㄧˊ
波旁王朝	ㄅㄛ ㄆㄤˊ ㄨㄤˊ ㄔㄠˊ
波多黎各	ㄅㄛ ㄉㄨㄛ ㄌㄧˊ ㄍㄜˋ
波特萊爾	ㄅㄛ ㄊㄜˋ ㄌㄞˊ ㄦˇ
波濤洶湧	ㄅㄛ ㄊㄠˊ ㄒㄩㄥ ㄩㄥˇ
波提且利	ㄅㄛ ㄊㄧˊ ㄑㄧㄝˇ ㄌㄧˋ
波瀾老成	ㄅㄛ ㄌㄢˊ ㄌㄠˇ ㄔㄥˊ
波瀾壯闊	ㄅㄛ ㄌㄢˊ ㄓㄨㄤˋ ㄎㄨㄛˋ
波蘭走廊	ㄅㄛ ㄌㄢˊ ㄗㄡˇ ㄌㄤˊ
波蘭舞曲	ㄅㄛ ㄌㄢˊ ㄨˇ ㄑㄩˇ
