# MOE 《成語典》 government-sourced idiom lexicon. See README.md.
吹毛求疵	ㄔㄨㄟ ㄇㄠˊ ㄑㄧㄡˊ ㄘ
一諾千金	ㄧ ㄋㄨㄛˋ ㄑㄧㄢ ㄐㄧㄣ
騎虎難下	ㄑㄧˊ ㄏㄨˇ ㄋㄢˊ ㄒㄧㄚˋ
投鼠忌器	ㄊㄡˊ ㄕㄨˇ ㄐㄧˋ ㄑㄧˋ
孤注一擲	ㄍㄨ ㄓㄨˋ ㄧ ㄓˊ
坐井觀天	ㄗㄨㄛˋ ㄐㄧㄥˇ ㄍㄨㄢ ㄊㄧㄢ
滄海一粟	ㄘㄤ ㄏㄞˇ ㄧ ㄙㄨˋ
門可羅雀	ㄇㄣˊ ㄎㄜˇ ㄌㄨㄛˊ ㄑㄩㄝˋ
攀龍附鳳	ㄆㄢ ㄌㄨㄥˊ ㄈㄨˋ ㄈㄥˋ
痛心疾首	ㄊㄨㄥˋ ㄒㄧㄣ ㄐㄧˊ ㄕㄡˇ
易如反掌	ㄧˋ ㄖㄨˊ ㄈㄢˇ ㄓㄤˇ
膾炙人口	ㄎㄨㄞˋ ㄓˋ ㄖㄣˊ ㄎㄡˇ
趾高氣揚	ㄓˇ ㄍㄠ ㄑㄧˋ ㄧㄤˊ
唾面自乾	ㄊㄨㄛˋ ㄇㄧㄢˋ ㄗˋ ㄍㄢ
推心置腹	ㄊㄨㄟ ㄒㄧㄣ ㄓˋ ㄈㄨˋ
病入膏肓	ㄅㄧㄥˋ ㄖㄨˋ ㄍㄠ ㄏㄨㄤ
蕭規曹隨	ㄒㄧㄠ ㄍㄨㄟ ㄘㄠˊ ㄙㄨㄟˊ
庸人自擾	ㄩㄥ ㄖㄣˊ ㄗˋ ㄖㄠˇ
緣木求魚	ㄩㄢˊ ㄇㄨˋ ㄑㄧㄡˊ ㄩˊ
雙管齊下	ㄕㄨㄤ ㄍㄨㄢˇ ㄑㄧˊ ㄒㄧㄚˋ
一言九鼎	ㄧ ㄧㄢˊ ㄐㄧㄡˇ ㄉㄧㄥˇ
自相矛盾	ㄗˋ ㄒㄧㄤ ㄇㄠˊ ㄉㄨㄣˋ
扶搖直上	ㄈㄨˊ ㄧㄠˊ ㄓˊ ㄕㄤˋ
舉案齊眉	ㄐㄩˇ ㄢˋ ㄑㄧˊ ㄇㄟˊ
閉門造車	ㄅㄧˋ ㄇㄣˊ ㄗㄠˋ ㄐㄩ
歧路亡羊	ㄑㄧˊ ㄌㄨˋ ㄨㄤˊ ㄧㄤˊ
風聲鶴唳	ㄈㄥ ㄕㄥ ㄏㄜˋ ㄌㄧˋ
老當益壯	ㄌㄠˇ ㄉㄤ ㄧˋ ㄓㄨㄤˋ
