# Original phrase	original readings	reviewed phrase	reviewed readings
成分	ㄔㄥˊ ˙ㄈㄣ	成分	ㄔㄥˊ ㄈㄣˋ
衝擊	ㄔㄨㄥ ㄐㄧ	衝擊	ㄔㄨㄥ ㄐㄧˊ
打發	ㄉㄚˇ ˙ㄈㄚ	打發	ㄉㄚˇ ㄈㄚ
到期	ㄉㄠˋ ㄑㄧ	到期	ㄉㄠˋ ㄑㄧˊ
隊伍	ㄉㄨㄟˋ ˙ㄨ	隊伍	ㄉㄨㄟˋ ㄨˇ
仿佛	ㄈㄤˇ ㄈㄨˊ	彷彿	ㄈㄤˇ ㄈㄨˊ
趕不上	ㄍㄢˇ ˙ㄅㄨ ㄕㄤˋ	趕不上	ㄍㄢˇ ㄅㄨˋ ㄕㄤˋ
攻擊	ㄍㄨㄥ ㄐㄧ	攻擊	ㄍㄨㄥ ㄐㄧˊ
衡量	ㄏㄥˊ ˙ㄌㄧㄤ	衡量	ㄏㄥˊ ㄌㄧㄤˊ
看得見	ㄎㄢˋ ㄉㄜˊ ㄐㄧㄢˋ	看得見	ㄎㄢˋ ˙ㄉㄜ ㄐㄧㄢˋ
聊天兒	ㄌㄧㄠˊ ㄊㄧㄢ ˙ㄦ	聊天兒	ㄌㄧㄠˊ ㄊㄧㄢ ㄦˊ
面嚮	ㄇㄧㄢˋ ㄒㄧㄤˋ	面向	ㄇㄧㄢˋ ㄒㄧㄤˋ
企圖	ㄑㄧˇ ㄊㄨˊ	企圖	ㄑㄧˋ ㄊㄨˊ
時期	ㄕˊ ㄑㄧ	時期	ㄕˊ ㄑㄧˊ
踏實	ㄊㄚ ˙ㄕ	踏實	ㄊㄚˋ ㄕˊ
歲數	ㄙㄨㄟˋ ˙ㄕㄨ	歲數	ㄙㄨㄟˋ ㄕㄨˋ
同期	ㄊㄨㄥˊ ㄑㄧ	同期	ㄊㄨㄥˊ ㄑㄧˊ
徒弟	ㄊㄨˊ ˙ㄉㄧ	徒弟	ㄊㄨˊ ㄉㄧˋ
娃娃	ㄨㄚˊ ˙ㄨㄚ	娃娃	ㄨㄚˊ ㄨㄚˊ
危機	ㄨㄟ ㄐㄧ	危機	ㄨㄟˊ ㄐㄧ
微波爐	ㄨㄟ ㄅㄛ ㄌㄨˊ	微波爐	ㄨㄟˊ ㄅㄛ ㄌㄨˊ
舞蹈	ㄨˇ ㄉㄠˇ	舞蹈	ㄨˇ ㄉㄠˋ
細菌	ㄒㄧˋ ㄐㄩㄣ	細菌	ㄒㄧˋ ㄐㄩㄣˋ
想不到	ㄒㄧㄤˇ ˙ㄅㄨ ㄉㄠˋ	想不到	ㄒㄧㄤˇ ㄅㄨˋ ㄉㄠˋ
要不然	ㄧㄠˋ ˙ㄅㄨ ㄖㄢˊ	要不然	ㄧㄠˋ ㄅㄨˋ ㄖㄢˊ
用處	ㄩㄥˋ ˙ㄔㄨ	用處	ㄩㄥˋ ㄔㄨˋ
扎實	ㄓㄚ ˙ㄕ	紮實	ㄓㄚˊ ㄕˊ
賬戶	ㄓㄤˋ ㄏㄨˋ	帳戶	ㄓㄤˋ ㄏㄨˋ
正當	ㄓㄥˋ ㄉㄤ	正當	ㄓㄥˋ ㄉㄤˋ
癥狀	ㄓㄥˋ ㄓㄨㄤˋ	症狀	ㄓㄥˋ ㄓㄨㄤˋ
支撐	ㄓ ˙ㄔㄥ	支撐	ㄓ ㄔㄥ
中期	ㄓㄨㄥ ㄑㄧ	中期	ㄓㄨㄥ ㄑㄧˊ
追究	ㄓㄨㄟ ㄐㄧㄡ	追究	ㄓㄨㄟ ㄐㄧㄡˋ
自在	ㄗˋ ˙ㄗㄞ	自在	ㄗˋ ㄗㄞˋ
