# Original phrase	original readings	reviewed phrase	reviewed readings
座位	ㄗㄨㄛˋ ˙ㄨㄟ	座位	ㄗㄨㄛˋ ㄨㄟˋ
做法	ㄗㄨㄛˋ ˙ㄈㄚ	做法	ㄗㄨㄛˋ ㄈㄚˇ
本事	ㄅㄣˇ ˙ㄕ	本事	ㄅㄣˇ ㄕˋ
播出	ㄅㄛ ㄔㄨ	播出	ㄅㄛˋ ㄔㄨ
播放	ㄅㄛ ㄈㄤˋ	播放	ㄅㄛˋ ㄈㄤˋ
長處	ㄔㄤˊ ˙ㄔㄨ	長處	ㄔㄤˊ ㄔㄨˋ
長期	ㄔㄤˊ ㄑㄧ	長期	ㄔㄤˊ ㄑㄧˊ
傳播	ㄔㄨㄢˊ ㄅㄛ	傳播	ㄔㄨㄢˊ ㄅㄛˋ
打破	ㄉㄚˇ ˙ㄆㄛ	打破	ㄉㄚˇ ㄆㄛˋ
打聽	ㄉㄚˇ ˙ㄊㄧㄥ	打聽	ㄉㄚˇ ㄊㄧㄥ
底下	ㄉㄧˇ ˙ㄒㄧㄚ	底下	ㄉㄧˇ ㄒㄧㄚˋ
定期	ㄉㄧㄥˋ ㄑㄧ	定期	ㄉㄧㄥˋ ㄑㄧˊ
短處	ㄉㄨㄢˇ ˙ㄔㄨ	短處	ㄉㄨㄢˇ ㄔㄨˋ
短期	ㄉㄨㄢˇ ㄑㄧ	短期	ㄉㄨㄢˇ ㄑㄧˊ
發送	ㄈㄚ ˙ㄙㄨㄥ	發送	ㄈㄚ ㄙㄨㄥˋ
反正	ㄈㄢˇ ˙ㄓㄥ	反正	ㄈㄢˇ ㄓㄥˋ
費用	ㄈㄟˋ ˙ㄩㄥ	費用	ㄈㄟˋ ㄩㄥˋ
父親	ㄈㄨˋ ˙ㄑㄧㄣ	父親	ㄈㄨˋ ㄑㄧㄣ
幹嗎	ㄍㄢˋ ㄇㄚˊ	幹嗎	ㄍㄢˋ ㄇㄚ
工夫	ㄍㄨㄥ ˙ㄈㄨ	工夫	ㄍㄨㄥ ㄈㄨ
功夫	ㄍㄨㄥ ˙ㄈㄨ	功夫	ㄍㄨㄥ ㄈㄨ
姑娘	ㄍㄨ ˙ㄋㄧㄤ	姑娘	ㄍㄨ ㄋㄧㄤˊ
關係	ㄍㄨㄢ ˙ㄒㄧ	關係	ㄍㄨㄢ ㄒㄧˋ
廣播	ㄍㄨㄤˇ ㄅㄛ	廣播	ㄍㄨㄤˇ ㄅㄛˋ
哈哈	ㄏㄚ ˙ㄏㄚ	哈哈	ㄏㄚ ㄏㄚ
後面	ㄏㄡˋ ˙ㄇㄧㄢ	後面	ㄏㄡˋ ㄇㄧㄢˋ
基本上	ㄐㄧ ㄅㄣˇ ˙ㄕㄤ	基本上	ㄐㄧ ㄅㄣˇ ㄕㄤˋ
家具	ㄐㄧㄚ ˙ㄐㄩ	家具	ㄐㄧㄚ ㄐㄩˋ
價錢	ㄐㄧㄚˋ ˙ㄑㄧㄢ	價錢	ㄐㄧㄚˋ ㄑㄧㄢˊ
結實	ㄐㄧㄝ ˙ㄕ	結實	ㄐㄧㄝˊ ㄕˊ
盡量	ㄐㄧㄣˇ ㄌㄧㄤˋ	盡量	ㄐㄧㄣˋ ㄌㄧㄤˋ
近期	ㄐㄧㄣˋ ㄑㄧ	近期	ㄐㄧㄣˋ ㄑㄧˊ
精神	ㄐㄧㄥ ˙ㄕㄣ	精神	ㄐㄧㄥ ㄕㄣˊ
開發	ㄎㄞ ˙ㄈㄚ	開發	ㄎㄞ ㄈㄚ
看起來	ㄎㄢˋ ˙ㄑㄧ ˙ㄌㄞ	看起來	ㄎㄢˋ ㄑㄧˇ ㄌㄞˊ
看上去	ㄎㄢˋ ˙ㄕㄤ ˙ㄑㄩ	看上去	ㄎㄢˋ ㄕㄤˋ ㄑㄩˋ
空兒	ㄎㄨㄥˋ ˙ㄦ	空兒	ㄎㄨㄥˋ ㄦˊ
困難	ㄎㄨㄣˋ ˙ㄋㄢ	困難	ㄎㄨㄣˋ ㄋㄢˊ
老太太	ㄌㄠˇ ㄊㄞˋ ˙ㄊㄞ	老太太	ㄌㄠˇ ㄊㄞˋ ㄊㄞˋ
老頭兒	ㄌㄠˇ ㄊㄡˊ ˙ㄦ	老頭兒	ㄌㄠˇ ㄊㄡˊ ㄦˊ
裡面	ㄌㄧˇ ˙ㄇㄧㄢ	裡面	ㄌㄧˇ ㄇㄧㄢˋ
理髮	ㄌㄧˇ ㄈㄚˋ	理髮	ㄌㄧˇ ㄈㄚˇ
力量	ㄌㄧˋ ˙ㄌㄧㄤ	力量	ㄌㄧˋ ㄌㄧㄤˋ
麻煩	ㄇㄚˊ ˙ㄈㄢ	麻煩	ㄇㄚˊ ㄈㄢˊ
毛病	ㄇㄠˊ ˙ㄅㄧㄥ	毛病	ㄇㄠˊ ㄅㄧㄥˋ
母親	ㄇㄨˇ ˙ㄑㄧㄣ	母親	ㄇㄨˇ ㄑㄧㄣ
配合	ㄆㄟˋ ˙ㄏㄜ	配合	ㄆㄟˋ ㄏㄜˊ
前面	ㄑㄧㄢˊ ˙ㄇㄧㄢ	前面	ㄑㄧㄢˊ ㄇㄧㄢˋ
任務	ㄖㄣˋ ˙ㄨ	任務	ㄖㄣˋ ㄨˋ
上面	ㄕㄤˋ ˙ㄇㄧㄢ	上面	ㄕㄤˋ ㄇㄧㄢˋ
上去	ㄕㄤˋ ˙ㄑㄩ	上去	ㄕㄤˋ ㄑㄩˋ
上來	ㄕㄤˋ ˙ㄌㄞ	上來	ㄕㄤˋ ㄌㄞˊ
生意	ㄕㄥ ˙ㄧ	生意	ㄕㄥ ㄧˋ
實際上	ㄕˊ ㄐㄧˋ ˙ㄕㄤ	實際上	ㄕˊ ㄐㄧˋ ㄕㄤˋ
世界杯	ㄕˋ ㄐㄧㄝˋ ㄅㄟ	世界盃	ㄕˋ ㄐㄧㄝˋ ㄅㄟ
事實上	ㄕˋ ㄕˊ ˙ㄕㄤ	事實上	ㄕˋ ㄕˊ ㄕㄤˋ
突出	ㄊㄨ ㄔㄨ	突出	ㄊㄨˊ ㄔㄨ
突然	ㄊㄨ ㄖㄢˊ	突然	ㄊㄨˊ ㄖㄢˊ
外面	ㄨㄞˋ ˙ㄇㄧㄢ	外面	ㄨㄞˋ ㄇㄧㄢˋ
危險	ㄨㄟ ㄒㄧㄢˇ	危險	ㄨㄟˊ ㄒㄧㄢˇ
危害	ㄨㄟ ㄏㄞˋ	危害	ㄨㄟˊ ㄏㄞˋ
下來	ㄒㄧㄚˋ ˙ㄌㄞ	下來	ㄒㄧㄚˋ ㄌㄞˊ
下去	ㄒㄧㄚˋ ˙ㄑㄩ	下去	ㄒㄧㄚˋ ㄑㄩˋ
下面	ㄒㄧㄚˋ ˙ㄇㄧㄢ	下面	ㄒㄧㄚˋ ㄇㄧㄢˋ
消息	ㄒㄧㄠ ˙ㄒㄧ	消息	ㄒㄧㄠ ㄒㄧˊ
行李	ㄒㄧㄥˊ ˙ㄌㄧ	行李	ㄒㄧㄥˊ ㄌㄧˇ
要是	ㄧㄠˋ ˙ㄕ	要是	ㄧㄠˋ ㄕˋ
直播	ㄓˊ ㄅㄛ	直播	ㄓˊ ㄅㄛˋ
主意	ㄓㄨˇ ˙ㄧ	主意	ㄓㄨˇ ㄧˋ
資格	ㄗ ˙ㄍㄜ	資格	ㄗ ㄍㄜˊ
自然	ㄗˋ ˙ㄖㄢ	自然	ㄗˋ ㄖㄢˊ
寶寶	ㄅㄠˇ ˙ㄅㄠ	寶寶	ㄅㄠˇ ㄅㄠˇ
不在乎	ㄅㄨˋ ㄗㄞˋ ˙ㄏㄨ	不在乎	ㄅㄨˋ ㄗㄞˋ ㄏㄨ
誠實	ㄔㄥˊ ˙ㄕ	誠實	ㄔㄥˊ ㄕˊ
尺寸	ㄔˇ ˙ㄘㄨㄣ	尺寸	ㄔˇ ㄘㄨㄣˋ
充分	ㄔㄨㄥ ㄈㄣˋ	充分	ㄔㄨㄥ ㄈㄣ
穿上	ㄔㄨㄢ ˙ㄕㄤ	穿上	ㄔㄨㄢ ㄕㄤˋ
大方	ㄉㄚˋ ˙ㄈㄤ	大方	ㄉㄚˋ ㄈㄤ
大爺	ㄉㄚˋ ˙ㄧㄝ	大爺	ㄉㄚˋ ㄧㄝˊ
地下	ㄉㄧˋ ˙ㄒㄧㄚ	地下	ㄉㄧˋ ㄒㄧㄚˋ
豆腐	ㄉㄡˋ ˙ㄈㄨ	豆腐	ㄉㄡˋ ㄈㄨˇ
肚子	ㄉㄨˇ ˙ㄗ	肚子	ㄉㄨˋ ˙ㄗ
黃瓜	ㄏㄨㄤˊ ˙ㄍㄨㄚ	黃瓜	ㄏㄨㄤˊ ㄍㄨㄚ
講究	ㄐㄧㄤˇ ˙ㄐㄧㄡ	講究	ㄐㄧㄤˇ ㄐㄧㄡˋ
究竟	ㄐㄧㄡ ㄐㄧㄥˋ	究竟	ㄐㄧㄡˋ ㄐㄧㄥˋ
看來	ㄎㄢˋ ˙ㄌㄞ	看來	ㄎㄢˋ ㄌㄞˊ
看不起	ㄎㄢˋ ˙ㄅㄨ ㄑㄧˇ	看不起	ㄎㄢˋ ㄅㄨˋ ㄑㄧˇ
口袋	ㄎㄡˇ ˙ㄉㄞ	口袋	ㄎㄡˇ ㄉㄞˋ
垃圾	ㄌㄚ ㄐㄧ	垃圾	ㄌㄜˋ ㄙㄜˋ
來不及	ㄌㄞˊ ˙ㄅㄨ ㄐㄧˊ	來不及	ㄌㄞˊ ㄅㄨˋ ㄐㄧˊ
老婆	ㄌㄠˇ ˙ㄆㄛ	老婆	ㄌㄠˇ ㄆㄛˊ
老實	ㄌㄠˇ ˙ㄕ	老實	ㄌㄠˇ ㄕˊ
離不開	ㄌㄧˊ ˙ㄅㄨ ㄎㄞ	離不開	ㄌㄧˊ ㄅㄨˋ ㄎㄞ
利息	ㄌㄧˋ ㄒㄧ	利息	ㄌㄧˋ ㄒㄧˊ
沒法兒	ㄇㄟˊ ㄈㄚˇ ˙ㄦ	沒法兒	ㄇㄟˊ ㄈㄚˇ ㄦˊ
名牌兒	ㄇㄧㄥˊ ㄆㄞˊ ˙ㄦ	名牌兒	ㄇㄧㄥˊ ㄆㄞˊ ㄦˊ
模特兒	ㄇㄛˊ ㄊㄜˋ ˙ㄦ	模特兒	ㄇㄛˊ ㄊㄜˋ ㄦˊ
腦袋	ㄋㄠˇ ˙ㄉㄞ	腦袋	ㄋㄠˇ ㄉㄞˋ
期末	ㄑㄧ ㄇㄛˋ	期末	ㄑㄧˊ ㄇㄛˋ
期待	ㄑㄧ ㄉㄞˋ	期待	ㄑㄧˊ ㄉㄞˋ
期間	ㄑㄧ ㄐㄧㄢ	期間	ㄑㄧˊ ㄐㄧㄢ
期中	ㄑㄧ ㄓㄨㄥ	期中	ㄑㄧˊ ㄓㄨㄥ
期限	ㄑㄧ ㄒㄧㄢˋ	期限	ㄑㄧˊ ㄒㄧㄢˋ
企業	ㄑㄧˇ ㄧㄝˋ	企業	ㄑㄧˋ ㄧㄝˋ
手裡	ㄕㄡˇ ˙ㄌㄧ	手裡	ㄕㄡˇ ㄌㄧˇ
叔叔	ㄕㄨ ˙ㄕㄨ	叔叔	ㄕㄨˊ ㄕㄨˊ
熟練	ㄕㄨˊ ㄌㄧㄢˋ	熟練	ㄕㄡˊ ㄌㄧㄢˋ
說不定	ㄕㄨㄛ ˙ㄅㄨ ㄉㄧㄥˋ	說不定	ㄕㄨㄛ ㄅㄨˋ ㄉㄧㄥˋ
痛快	ㄊㄨㄥˋ ˙ㄎㄨㄞ	痛快	ㄊㄨㄥˋ ㄎㄨㄞˋ
微笑	ㄨㄟ ㄒㄧㄠˋ	微笑	ㄨㄟˊ ㄒㄧㄠˋ
尾巴	ㄨㄟˇ ˙ㄅㄚ	尾巴	ㄨㄟˇ ㄅㄚ
位置	ㄨㄟˋ ˙ㄓ	位置	ㄨㄟˋ ㄓˋ
味兒	ㄨㄟˋ ˙ㄦ	味兒	ㄨㄟˋ ㄦˊ
西瓜	ㄒㄧ ˙ㄍㄨㄚ	西瓜	ㄒㄧ ㄍㄨㄚ
想象	ㄒㄧㄤˇ ㄒㄧㄤˋ	想像	ㄒㄧㄤˇ ㄒㄧㄤˋ
新鮮	ㄒㄧㄣ ˙ㄒㄧㄢ	新鮮	ㄒㄧㄣ ㄒㄧㄢ
兄弟	ㄒㄩㄥ ˙ㄉㄧ	兄弟	ㄒㄩㄥ ㄉㄧˋ
延期	ㄧㄢˊ ㄑㄧ	延期	ㄧㄢˊ ㄑㄧˊ
研究	ㄧㄢˊ ㄐㄧㄡ	研究	ㄧㄢˊ ㄐㄧㄡˋ
研究生	ㄧㄢˊ ㄐㄧㄡ ㄕㄥ	研究生	ㄧㄢˊ ㄐㄧㄡˋ ㄕㄥ
眼裡	ㄧㄢˇ ˙ㄌㄧ	眼裡	ㄧㄢˇ ㄌㄧˇ
有勁兒	ㄧㄡˇ ㄐㄧㄣˋ ˙ㄦ	有勁兒	ㄧㄡˇ ㄐㄧㄣˋ ㄦˊ
遇見	ㄩˋ ˙ㄐㄧㄢ	遇見	ㄩˋ ㄐㄧㄢˋ
約會	ㄩㄝ ˙ㄏㄨㄟ	約會	ㄩㄝ ㄏㄨㄟˋ
在乎	ㄗㄞˋ ˙ㄏㄨ	在乎	ㄗㄞˋ ㄏㄨ
贊賞	ㄗㄢˋ ㄕㄤˇ	讚賞	ㄗㄢˋ ㄕㄤˇ
丈夫	ㄓㄤˋ ˙ㄈㄨ	丈夫	ㄓㄤˋ ㄈㄨ
招呼	ㄓㄠ ˙ㄏㄨ	招呼	ㄓㄠ ㄏㄨ
