# Jiukong first-party default character ranking. See README.md.
餐	ㄘㄢ	8
色	ㄙㄜˋ	8
算	ㄙㄨㄢˋ	8
舞	ㄨˇ	8
費	ㄈㄟˋ	7
方	ㄈㄤ	7
帶	ㄉㄞˋ	7
當	ㄉㄤ	7
天	ㄊㄧㄢ	7
填	ㄊㄧㄢˊ	7
卡	ㄎㄚˇ	7
框	ㄎㄨㄤ	7
匯	ㄏㄨㄟˋ	7
及	ㄐㄧˊ	7
鏡	ㄐㄧㄥˋ	7
現	ㄒㄧㄢˋ	7
線	ㄒㄧㄢˋ	7
像	ㄒㄧㄤˋ	7
週	ㄓㄡ	7
住	ㄓㄨˋ	7
士	ㄕˋ	7
總	ㄗㄨㄥˇ	7
錯	ㄘㄨㄛˋ	7
頁	ㄧㄝˋ	7
五	ㄨˇ	7
原	ㄩㄢˊ	7
源	ㄩㄢˊ	7
版	ㄅㄢˇ	6
幫	ㄅㄤ	6
部	ㄅㄨˋ	6
片	ㄆㄧㄢˋ	6
美	ㄇㄟˇ	6
等	ㄉㄥˇ	6
地	ㄉㄧˋ	6
連	ㄌㄧㄢˊ	6
林	ㄌㄧㄣˊ	6
量	ㄌㄧㄤˋ	6
款	ㄎㄨㄢˇ	6
機	ㄐㄧ	6
記	ㄐㄧˋ	6
教	ㄐㄧㄠ	6
鍵	ㄐㄧㄢˋ	6
且	ㄑㄧㄝˇ	6
西	ㄒㄧ	6
超	ㄔㄠ	6
長	ㄔㄤˊ	6
示	ㄕˋ	6
手	ㄕㄡˇ	6
售	ㄕㄡˋ	6
組	ㄗㄨˇ	6
以	ㄧˇ	6
無	ㄨˊ	6
月	ㄩㄝˋ	6
吧	˙ㄅㄚ	5
麼	˙ㄇㄜ	5
搬	ㄅㄢ	5
別	ㄅㄧㄝˊ	5
底	ㄉㄧˇ	5
電	ㄉㄧㄢˋ	5
蓋	ㄍㄞˋ	5
工	ㄍㄨㄥ	5
號	ㄏㄠˋ	5
很	ㄏㄣˇ	5
幾	ㄐㄧˇ	5
家	ㄐㄧㄚ	5
角	ㄐㄧㄠˇ	5
久	ㄐㄧㄡˇ	5
覺	ㄐㄩㄝˊ	5
啟	ㄑㄧˇ	5
取	ㄑㄩˇ	5
群	ㄑㄩㄣˊ	5
席	ㄒㄧˊ	5
修	ㄒㄧㄡ	5
之	ㄓ	5
鄭	ㄓㄥˋ	5
主	ㄓㄨˇ	5
設	ㄕㄜˋ	5
自	ㄗˋ	5
作	ㄗㄨㄛˋ	5
最	ㄗㄨㄟˋ	5
詞	ㄘˊ	5
厄	ㄜˋ	5
影	ㄧㄥˇ	5
預	ㄩˋ	5
北	ㄅㄟˇ	4
備	ㄅㄟˋ	4
保	ㄅㄠˇ	4
步	ㄅㄨˋ	4
平	ㄆㄧㄥˊ	4
門	ㄇㄣˊ	4
封	ㄈㄥ	4
副	ㄈㄨˋ	4
讀	ㄉㄨˊ	4
堆	ㄉㄨㄟ	4
東	ㄉㄨㄥ	4
題	ㄊㄧˊ	4
停	ㄊㄧㄥˊ	4
同	ㄊㄨㄥˊ	4
理	ㄌㄧˇ	4
立	ㄌㄧˋ	4
留	ㄌㄧㄡˊ	4
觀	ㄍㄨㄢ	4
關	ㄍㄨㄢ	4
共	ㄍㄨㄥˋ	4
匡	ㄎㄨㄤ	4
空	ㄎㄨㄥ	4
黑	ㄏㄟ	4
貨	ㄏㄨㄛˋ	4
換	ㄏㄨㄢˋ	4
價	ㄐㄧㄚˋ	4
較	ㄐㄧㄠˋ	4
簡	ㄐㄧㄢˇ	4
據	ㄐㄩˋ	4
起	ㄑㄧˇ	4
相	ㄒㄧㄤ	4
想	ㄒㄧㄤˇ	4
隻	ㄓ	4
值	ㄓˊ	4
找	ㄓㄠˇ	4
證	ㄓㄥˋ	4
串	ㄔㄨㄢˋ	4
沙	ㄕㄚ	4
社	ㄕㄜˋ	4
誰	ㄕㄟˊ	4
生	ㄕㄥ	4
任	ㄖㄣˋ	4
載	ㄗㄞˋ	4
存	ㄘㄨㄣˊ	4
阿	ㄚ	4
安	ㄢ	4
爾	ㄦˇ	4
意	ㄧˋ	4
由	ㄧㄡˊ	4
印	ㄧㄣˋ	4
位	ㄨㄟˋ	4
網	ㄨㄤˇ	4
語	ㄩˇ	4
於	ㄩˊ	4
幺	˙ㄇㄛ	3
暴	ㄅㄛ	3
包	ㄅㄠ	3
辦	ㄅㄢˋ	3
綁	ㄅㄤˇ	3
標	ㄅㄧㄠ	3
排	ㄆㄞˊ	3
偏	ㄆㄧㄢ	3
碼	ㄇㄚˇ	3
摸	ㄇㄛ	3
幕	ㄇㄨˋ	3
非	ㄈㄟ	3
反	ㄈㄢˋ	3
風	ㄈㄥ	3
覆	ㄈㄨˋ	3
德	ㄉㄜˊ	3
斷	ㄉㄨㄢˋ	3
大	ㄊㄞˋ	3
退	ㄊㄨㄟˋ	3
通	ㄊㄨㄥ	3
拿	ㄋㄚˊ	3
念	ㄋㄧㄢˋ	3
類	ㄌㄟˋ	3
六	ㄌㄧㄡˋ	3
零	ㄌㄧㄥˊ	3
高	ㄍㄠ	3
感	ㄍㄢˇ	3
國	ㄍㄨㄛˊ	3
公	ㄍㄨㄥ	3
快	ㄎㄨㄞˋ	3
框	ㄎㄨㄤˋ	3
哈	ㄏㄚ	3
含	ㄏㄢˊ	3
急	ㄐㄧˊ	3
嘉	ㄐㄧㄚ	3
柬	ㄐㄧㄢˇ	3
金	ㄐㄧㄣ	3
講	ㄐㄧㄤˇ	3
棋	ㄑㄧˊ	3
齊	ㄑㄧˊ	3
器	ㄑㄧˋ	3
需	ㄒㄩ	3
支	ㄓ	3
知	ㄓ	3
制	ㄓˋ	3
志	ㄓˋ	3
展	ㄓㄢˇ	3
註	ㄓㄨˋ	3
抓	ㄓㄨㄚ	3
裝	ㄓㄨㄤ	3
種	ㄓㄨㄥˇ	3
持	ㄔˊ	3
插	ㄔㄚ	3
常	ㄔㄤˊ	3
傳	ㄔㄨㄢˊ	3
始	ㄕˇ	3
實	ㄕˊ	3
事	ㄕˋ	3
式	ㄕˋ	3
少	ㄕㄠˇ	3
收	ㄕㄡ	3
閃	ㄕㄢˇ	3
聲	ㄕㄥ	3
入	ㄖˋ	3
漬	ㄗˋ	3
測	ㄘㄜˋ	3
從	ㄘㄨㄥˊ	3
搜	ㄙㄡ	3
椅	ㄧˇ	3
一	ㄧˊ	3
譯	ㄧˋ	3
咬	ㄧㄠˇ	3
友	ㄧㄡˇ	3
尤	ㄧㄡˊ	3
應	ㄧㄥ	3
迎	ㄧㄥˊ	3
硬	ㄧㄥˋ	3
蚊	ㄨㄣˊ	3
元	ㄩㄢˊ	3
子	˙ㄗ	2
播	ㄅㄛˋ	2
背	ㄅㄟˋ	2
班	ㄅㄢ	2
并	ㄅㄧㄥˋ	2
怕	ㄆㄚˋ	2
判	ㄆㄢˋ	2
馮	ㄆㄧㄥˊ	2
馬	ㄇㄚˇ	2
模	ㄇㄛˊ	2
某	ㄇㄡˇ	2
販	ㄈㄢˋ	2
浮	ㄈㄨˊ	2
付	ㄈㄨˋ	2
復	ㄈㄨˋ	2
父	ㄈㄨˋ	2
導	ㄉㄠˇ	2
倒	ㄉㄠˋ	2
獨	ㄉㄨˊ	2
端	ㄉㄨㄢ	2
體	ㄊㄧˇ	2
聽	ㄊㄧㄥ	2
統	ㄊㄨㄥˇ	2
啦	ㄌㄚ	2
覽	ㄌㄢˇ	2
利	ㄌㄧˋ	2
曆	ㄌㄧˋ	2
令	ㄌㄧㄥˋ	2
錄	ㄌㄨˋ	2
囉	ㄌㄨㄛ	2
輪	ㄌㄨㄣˊ	2
龍	ㄌㄨㄥˊ	2
率	ㄌㄩˋ	2
蛤	ㄍㄜˊ	2
概	ㄍㄞˋ	2
告	ㄍㄠˋ	2
夠	ㄍㄡˋ	2
根	ㄍㄣ	2
剛	ㄍㄤ	2
更	ㄍㄥˋ	2
怪	ㄍㄨㄞˋ	2
滾	ㄍㄨㄣˇ	2
凱	ㄎㄞˇ	2
饋	ㄎㄨㄟˋ	2
禾	ㄏㄜˊ	2
和	ㄏㄢˋ	2
即	ㄐㄧˊ	2
計	ㄐㄧˋ	2
假	ㄐㄧㄚˋ	2
甲	ㄐㄧㄚˋ	2
截	ㄐㄧㄝˊ	2
舊	ㄐㄧㄡˋ	2
檢	ㄐㄧㄢˇ	2
健	ㄐㄧㄢˋ	2
箭	ㄐㄧㄢˋ	2
見	ㄐㄧㄢˋ	2
今	ㄐㄧㄣ	2
儘	ㄐㄧㄣˇ	2
歹	ㄐㄧㄥ	2
警	ㄐㄧㄥˇ	2
均	ㄐㄩㄣ	2
琪	ㄑㄧˊ	2
切	ㄑㄧㄝ	2
清	ㄑㄧㄥ	2
驅	ㄑㄩ	2
權	ㄑㄩㄢˊ	2
先	ㄒㄧㄢˋ	2
薪	ㄒㄧㄣ	2
序	ㄒㄩˋ	2
織	ㄓ	2
紙	ㄓˇ	2
直	ㄓˊ	2
至	ㄓˋ	2
折	ㄓㄜˊ	2
召	ㄓㄠˋ	2
站	ㄓㄢˋ	2
注	ㄓㄨˋ	2
冢	ㄓㄨㄥˇ	2
中	ㄓㄨㄥˋ	2
察	ㄔㄚˊ	2
場	ㄔㄤˇ	2
廠	ㄔㄤˇ	2
槍	ㄔㄥ	2
程	ㄔㄥˊ	2
儲	ㄔㄨˊ	2
充	ㄔㄨㄥ	2
適	ㄕˋ	2
山	ㄕㄢ	2
剩	ㄕㄥˋ	2
舒	ㄕㄨ	2
朔	ㄕㄨㄛˋ	2
雙	ㄕㄨㄤ	2
認	ㄖㄣˋ	2
容	ㄖㄨㄥˊ	2
則	ㄗㄜˊ	2
走	ㄗㄡˇ	2
增	ㄗㄥ	2
藏	ㄘㄤˊ	2
吋	ㄘㄨㄣˋ	2
思	ㄙ	2
送	ㄙㄨㄥˋ	2
呵	ㄛ	2
岸	ㄢˋ	2
耶	ㄧㄝ	2
么	ㄧㄠ	2
優	ㄧㄡ	2
右	ㄧㄡˋ	2
殷	ㄧㄣ	2
務	ㄨˋ	2
歪	ㄨㄞ	2
外	ㄨㄞˋ	2
為	ㄨㄟˊ	2
遠	ㄩㄢˇ	2
雲	ㄩㄣˊ	2
嗎	˙ㄇㄚ	1
呢	˙ㄋㄜ	1
博	ㄅㄛˊ	1
敗	ㄅㄞˋ	1
悲	ㄅㄟ	1
比	ㄅㄧˇ	1
畢	ㄅㄧˋ	1
閉	ㄅㄧˋ	1
杓	ㄅㄧㄠ	1
鰾	ㄅㄧㄠˋ	1
便	ㄅㄧㄢˋ	1
卞	ㄅㄧㄢˋ	1
辨	ㄅㄧㄢˋ	1
份	ㄅㄧㄣ	1
賓	ㄅㄧㄣ	1
併	ㄅㄧㄥˋ	1
病	ㄅㄧㄥˋ	1
卜	ㄅㄨˇ	1
怖	ㄅㄨˋ	1
破	ㄆㄛˋ	1
拍	ㄆㄞ	1
派	ㄆㄞˋ	1
碰	ㄆㄥˋ	1
頻	ㄆㄧㄣˊ	1
評	ㄆㄧㄥˊ	1
買	ㄇㄞˇ	1
牡	ㄇㄡˇ	1
米	ㄇㄧˇ	1
伐	ㄈㄚ	1
非	ㄈㄟˇ	1
翻	ㄈㄢ	1
煩	ㄈㄢˊ	1
笵	ㄈㄢˋ	1
范	ㄈㄢˋ	1
飯	ㄈㄢˋ	1
房	ㄈㄤˊ	1
防	ㄈㄤˊ	1
符	ㄈㄨˊ	1
道	ㄉㄠˋ	1
逗	ㄉㄡˋ	1
膽	ㄉㄢˇ	1
擋	ㄉㄤˇ	1
當	ㄉㄤˋ	1
登	ㄉㄥ	1
低	ㄉㄧ	1
碟	ㄉㄧㄝˊ	1
毒	ㄉㄨˊ	1
度	ㄉㄨˋ	1
短	ㄉㄨㄢˇ	1
特	ㄊㄜˋ	1
台	ㄊㄞ	1
態	ㄊㄞˋ	1
嘆	ㄊㄢˋ	1
提	ㄊㄧˊ	1
貼	ㄊㄧㄝ	1
調	ㄊㄧㄠˊ	1
眺	ㄊㄧㄠˋ	1
凸	ㄊㄨˊ	1
突	ㄊㄨˊ	1
痛	ㄊㄨㄥˋ	1
內	ㄋㄟˋ	1
黏	ㄋㄧㄢˊ	1
寧	ㄋㄧㄥˊ	1
累	ㄌㄟˇ	1
漏	ㄌㄡˋ	1
露	ㄌㄡˋ	1
藍	ㄌㄢˊ	1
浪	ㄌㄤˋ	1
離	ㄌㄧˊ	1
例	ㄌㄧˋ	1
力	ㄌㄧˋ	1
料	ㄌㄧㄠˋ	1
劉	ㄌㄧㄡˊ	1
鏈	ㄌㄧㄢˋ	1
凌	ㄌㄧㄥˊ	1
玲	ㄌㄧㄥˊ	1
靈	ㄌㄧㄥˊ	1
另	ㄌㄧㄥˋ	1
羅	ㄌㄨㄛˊ	1
邏	ㄌㄨㄛˊ	1
亂	ㄌㄨㄢˋ	1
倫	ㄌㄨㄣˊ	1
論	ㄌㄨㄣˋ	1
嚨	ㄌㄨㄥˊ	1
慮	ㄌㄩˋ	1
濾	ㄌㄩˋ	1
綠	ㄌㄩˋ	1
略	ㄌㄩㄝˋ	1
各	ㄍㄜˋ	1
勾	ㄍㄡ	1
構	ㄍㄡˋ	1
乾	ㄍㄢ	1
骨	ㄍㄨˊ	1
掛	ㄍㄨㄚˋ	1
果	ㄍㄨㄛˇ	1
鬼	ㄍㄨㄟˇ	1
貴	ㄍㄨㄟˋ	1
灌	ㄍㄨㄢˋ	1
供	ㄍㄨㄥ	1
課	ㄎㄜˋ	1
揩	ㄎㄞ	1
考	ㄎㄠˇ	1
靠	ㄎㄠˋ	1
扣	ㄎㄡˋ	1
塊	ㄎㄨㄞˋ	1
寬	ㄎㄨㄢ	1
何	ㄏㄜˊ	1
和	ㄏㄜˊ	1
海	ㄏㄞˇ	1
后	ㄏㄡˋ	1
涵	ㄏㄢˊ	1
痕	ㄏㄣˊ	1
橫	ㄏㄥˊ	1
衡	ㄏㄥˊ	1
忽	ㄏㄨ	1
戶	ㄏㄨˋ	1
和	ㄏㄨㄛˋ	1
壞	ㄏㄨㄞˋ	1
恢	ㄏㄨㄟ	1
會	ㄏㄨㄟˇ	1
毀	ㄏㄨㄟˇ	1
彙	ㄏㄨㄟˋ	1
桓	ㄏㄨㄢˊ	1
葷	ㄏㄨㄣ	1
黃	ㄏㄨㄤˊ	1
洪	ㄏㄨㄥˊ	1
紅	ㄏㄨㄥˊ	1
積	ㄐㄧ	1
雞	ㄐㄧ	1
輯	ㄐㄧˊ	1
集	ㄐㄧˊ	1
季	ㄐㄧˋ	1
假	ㄐㄧㄚˇ	1
架	ㄐㄧㄚˋ	1
皆	ㄐㄧㄝ	1
階	ㄐㄧㄝ	1
姐	ㄐㄧㄝˇ	1
婕	ㄐㄧㄝˊ	1
捷	ㄐㄧㄝˊ	1
潔	ㄐㄧㄝˊ	1
結	ㄐㄧㄝˊ	1
介	ㄐㄧㄝˋ	1
焦	ㄐㄧㄠ	1
教	ㄐㄧㄠˋ	1
酒	ㄐㄧㄡˇ	1
臼	ㄐㄧㄡˋ	1
監	ㄐㄧㄢ	1
件	ㄐㄧㄢˋ	1
間	ㄐㄧㄢˋ	1
緊	ㄐㄧㄣˇ	1
降	ㄐㄧㄤˋ	1
驚	ㄐㄧㄥ	1
景	ㄐㄧㄥˇ	1
徑	ㄐㄧㄥˋ	1
咀	ㄐㄩˇ	1
舉	ㄐㄩˇ	1
菊	ㄐㄩˊ	1
具	ㄐㄩˋ	1
劇	ㄐㄩˋ	1
孓	ㄐㄩㄝˊ	1
卷	ㄐㄩㄢˋ	1
君	ㄐㄩㄣ	1
其	ㄑㄧˊ	1
期	ㄑㄧˊ	1
棄	ㄑㄧˋ	1
恰	ㄑㄧㄚˋ	1
簽	ㄑㄧㄢ	1
籤	ㄑㄧㄢ	1
謙	ㄑㄧㄢ	1
錢	ㄑㄧㄢˊ	1
青	ㄑㄧㄥ	1
頃	ㄑㄧㄥˇ	1
闋	ㄑㄩㄝˋ	1
圈	ㄑㄩㄢ	1
細	ㄒㄧˋ	1
夏	ㄒㄧㄚˋ	1
卸	ㄒㄧㄝˋ	1
屑	ㄒㄧㄝˋ	1
瀉	ㄒㄧㄝˋ	1
謝	ㄒㄧㄝˋ	1
曉	ㄒㄧㄠˇ	1
效	ㄒㄧㄠˋ	1
險	ㄒㄧㄢˇ	1
限	ㄒㄧㄢˋ	1
心	ㄒㄧㄣ	1
享	ㄒㄧㄤˇ	1
向	ㄒㄧㄤˋ	1
象	ㄒㄧㄤˋ	1
型	ㄒㄧㄥˊ	1
許	ㄒㄩˇ	1
學	ㄒㄩㄝˊ	1
軒	ㄒㄩㄢ	1
尋	ㄒㄩㄣˊ	1
巡	ㄒㄩㄣˊ	1
訊	ㄒㄩㄣˋ	1
枝	ㄓ	1
止	ㄓˇ	1
治	ㄓˋ	1
製	ㄓˋ	1
誌	ㄓˋ	1
摘	ㄓㄞ	1
宅	ㄓㄞˊ	1
真	ㄓㄣ	1
針	ㄓㄣ	1
圳	ㄓㄣˋ	1
張	ㄓㄤˋ	1
正	ㄓㄥˋ	1
竹	ㄓㄨˊ	1
專	ㄓㄨㄢ	1
賺	ㄓㄨㄢˋ	1
饌	ㄓㄨㄢˋ	1
狀	ㄓㄨㄤˋ	1
腫	ㄓㄨㄥˇ	1
重	ㄓㄨㄥˋ	1
叉	ㄔㄚˊ	1
拆	ㄔㄞ	1
產	ㄔㄢˇ	1
陳	ㄔㄣˊ	1
呈	ㄔㄥˊ	1
儲	ㄔㄨˇ	1
處	ㄔㄨˇ	1
芻	ㄔㄨˊ	1
處	ㄔㄨˋ	1
純	ㄔㄨㄣˊ	1
蟲	ㄔㄨㄥˊ	1
提	ㄕˊ	1
捎	ㄕㄠ	1
守	ㄕㄡˇ	1
受	ㄕㄡˋ	1
授	ㄕㄡˋ	1
擅	ㄕㄢˋ	1
商	ㄕㄤ	1
省	ㄕㄥˇ	1
乘	ㄕㄥˋ	1
殊	ㄕㄨ	1
疋	ㄕㄨ	1
暑	ㄕㄨˇ	1
署	ㄕㄨˇ	1
刷	ㄕㄨㄚ	1
順	ㄕㄨㄣˋ	1
刃	ㄖㄣˋ	1
潤	ㄖㄨㄣˋ	1
皂	ㄗㄠˋ	1
造	ㄗㄠˋ	1
阻	ㄗㄨˇ	1
磁	ㄘˊ	1
裁	ㄘㄞˊ	1
參	ㄘㄢ	1
寸	ㄘㄨㄣˋ	1
撕	ㄙ	1
死	ㄙˇ	1
寺	ㄙˋ	1
素	ㄙㄨˋ	1
速	ㄙㄨˋ	1
所	ㄙㄨㄛˇ	1
隨	ㄙㄨㄟˊ	1
損	ㄙㄨㄣˇ	1
喔	ㄛ	1
額	ㄜˊ	1
哀	ㄞ	1
啽	ㄢˊ	1
恩	ㄣ	1
耳	ㄦˇ	1
依	ㄧ	1
施	ㄧˋ	1
益	ㄧˋ	1
議	ㄧˋ	1
曳	ㄧㄝˋ	1
夭	ㄧㄠˇ	1
游	ㄧㄡˊ	1
演	ㄧㄢˇ	1
言	ㄧㄢˊ	1
顏	ㄧㄢˊ	1
因	ㄧㄣ	1
引	ㄧㄣˇ	1
隱	ㄧㄣˇ	1
怏	ㄧㄤˋ	1
營	ㄧㄥˊ	1
汙	ㄨ	1
兀	ㄨˋ	1
衛	ㄨㄟˋ	1
萬	ㄨㄢˋ	1
往	ㄨㄤˇ	1
王	ㄨㄤˊ	1
玉	ㄩˋ	1
王	ㄩˋ	1
育	ㄩˋ	1
悅	ㄩㄝˋ	1
員	ㄩㄢˊ	1
圓	ㄩㄢˊ	1
芸	ㄩㄣˊ	1
運	ㄩㄣˋ	1
永	ㄩㄥˇ	1
